date,product_id,product_name,category,current_price,competitor_price,cost,day_of_week,month,is_weekend,is_festival,inventory_level,customer_segment,demand,revenue,profit
2025-07-03,P005,Webcam HD,Electronics,1891,2060,1200,3,7,0,0,Medium,Budget,28,52948,19348
2025-07-03,P006,Phone Case,Accessories,547,535,200,3,7,0,0,Medium,Standard,77,42119,26719
2025-07-03,P005,Webcam HD,Electronics,1901,1904,1200,3,7,0,0,High,Standard,27,51327,18927
2025-07-03,P004,Laptop Stand,Accessories,913,810,540,3,7,0,0,Medium,Premium,35,31955,13055
2025-07-03,P004,Laptop Stand,Accessories,852,741,540,3,7,0,0,Medium,Budget,54,46008,16848
2025-07-03,P007,Power Bank,Electronics,1401,1289,900,3,7,0,0,Medium,Premium,13,18213,6513
2025-07-03,P007,Power Bank,Electronics,1631,1473,900,3,7,0,0,Low,Budget,7,11417,5117
2025-07-04,P004,Laptop Stand,Accessories,831,802,540,4,7,0,0,Medium,Standard,50,41550,14550
2025-07-04,P010,Bluetooth Speaker,Electronics,2005,1908,1140,4,7,0,0,Medium,Premium,26,52130,22490
2025-07-04,P008,USB Cable,Accessories,325,339,120,4,7,0,0,Medium,Standard,42,13650,8610
2025-07-04,P004,Laptop Stand,Accessories,988,1081,540,4,7,0,0,Medium,Standard,75,74100,33600
2025-07-04,P004,Laptop Stand,Accessories,950,841,540,4,7,0,0,Medium,Premium,32,30400,13120
2025-07-04,P001,Wireless Headphones,Electronics,2276,2509,1500,4,7,0,0,Medium,Standard,72,163872,55872
2025-07-04,P006,Phone Case,Accessories,479,486,200,4,7,0,0,Medium,Standard,54,25866,15066
2025-07-04,P008,USB Cable,Accessories,323,346,120,4,7,0,0,Medium,Standard,31,10013,6293
2025-07-04,P006,Phone Case,Accessories,457,419,200,4,7,0,0,Low,Standard,61,27877,15677
2025-07-04,P009,Smart Watch,Electronics,4903,5321,3000,4,7,0,0,High,Premium,53,259859,100859
2025-07-04,P007,Power Bank,Electronics,1385,1204,900,4,7,0,0,High,Standard,27,37395,13095
2025-07-04,P010,Bluetooth Speaker,Electronics,1726,1616,1140,4,7,0,0,Medium,Budget,27,46602,15822
2025-07-04,P002,Gaming Mouse,Electronics,1181,1123,780,4,7,0,0,Medium,Budget,38,44878,15238
2025-07-04,P006,Phone Case,Accessories,527,601,200,4,7,0,0,Medium,Budget,54,28458,17658
2025-07-04,P008,USB Cable,Accessories,317,284,120,4,7,0,0,Medium,Standard,32,10144,6304
2025-07-04,P009,Smart Watch,Electronics,4618,4824,3000,4,7,0,0,Medium,Standard,65,300170,105170
2025-07-04,P002,Gaming Mouse,Electronics,1311,1406,780,4,7,0,0,Medium,Standard,34,44574,18054
2025-07-05,P004,Laptop Stand,Accessories,975,986,540,5,7,1,0,High,Standard,35,34125,15225
2025-07-05,P010,Bluetooth Speaker,Electronics,1798,1666,1140,5,7,1,0,Low,Standard,43,77314,28294
2025-07-05,P005,Webcam HD,Electronics,2082,1853,1200,5,7,1,0,High,Standard,30,62460,26460
2025-07-05,P005,Webcam HD,Electronics,1962,1992,1200,5,7,1,0,Medium,Budget,45,88290,34290
2025-07-05,P002,Gaming Mouse,Electronics,1241,1120,780,5,7,1,0,Low,Budget,27,33507,12447
2025-07-05,P001,Wireless Headphones,Electronics,2635,2343,1500,5,7,1,0,High,Standard,0,0,0
2025-07-06,P008,USB Cable,Accessories,271,252,120,6,7,1,0,Low,Premium,49,13279,7399
2025-07-06,P008,USB Cable,Accessories,317,317,120,6,7,1,0,Low,Standard,75,23775,14775
2025-07-06,P007,Power Bank,Electronics,1546,1695,900,6,7,1,0,Medium,Standard,50,77300,32300
2025-07-06,P002,Gaming Mouse,Electronics,1289,1216,780,6,7,1,0,Medium,Premium,39,50271,19851
2025-07-06,P002,Gaming Mouse,Electronics,1393,1474,780,6,7,1,0,Low,Standard,58,80794,35554
2025-07-06,P002,Gaming Mouse,Electronics,1318,1483,780,6,7,1,0,Low,Premium,79,104122,42502
2025-07-07,P004,Laptop Stand,Accessories,901,982,540,0,7,0,0,Medium,Standard,86,77486,31046
2025-07-07,P005,Webcam HD,Electronics,2151,2390,1200,0,7,0,0,Low,Premium,68,146268,64668
2025-07-07,P006,Phone Case,Accessories,462,420,200,0,7,0,0,Low,Budget,75,34650,19650
2025-07-07,P004,Laptop Stand,Accessories,817,881,540,0,7,0,0,High,Standard,44,35948,12188
2025-07-07,P007,Power Bank,Electronics,1453,1544,900,0,7,0,0,Medium,Premium,55,79915,30415
2025-07-07,P008,USB Cable,Accessories,285,273,120,0,7,0,0,Low,Standard,66,18810,10890
2025-07-07,P001,Wireless Headphones,Electronics,2353,2018,1500,0,7,0,0,Low,Standard,0,0,0
2025-07-07,P007,Power Bank,Electronics,1535,1662,900,0,7,0,0,Medium,Standard,48,73680,30480
2025-07-07,P006,Phone Case,Accessories,492,499,200,0,7,0,0,Medium,Budget,24,11808,7008
2025-07-07,P009,Smart Watch,Electronics,5182,5184,3000,0,7,0,0,High,Premium,19,98458,41458
2025-07-08,P009,Smart Watch,Electronics,5135,4443,3000,1,7,0,0,Medium,Budget,0,0,0
2025-07-08,P008,USB Cable,Accessories,299,313,120,1,7,0,0,High,Premium,38,11362,6802
2025-07-08,P001,Wireless Headphones,Electronics,2564,2525,1500,1,7,0,0,Low,Standard,48,123072,51072
2025-07-08,P009,Smart Watch,Electronics,4674,4809,3000,1,7,0,0,High,Standard,37,172938,61938
2025-07-08,P008,USB Cable,Accessories,290,312,120,1,7,0,0,Medium,Standard,45,13050,7650
2025-07-08,P001,Wireless Headphones,Electronics,2317,2661,1500,1,7,0,0,Medium,Standard,52,120484,42484
2025-07-08,P009,Smart Watch,Electronics,5028,4864,3000,1,7,0,0,Medium,Premium,18,90504,36504
2025-07-08,P005,Webcam HD,Electronics,2024,1829,1200,1,7,0,0,Low,Budget,1,2024,824
2025-07-08,P005,Webcam HD,Electronics,1907,2173,1200,1,7,0,0,Medium,Premium,75,143025,53025
2025-07-08,P006,Phone Case,Accessories,543,521,200,1,7,0,0,Low,Standard,37,20091,12691
2025-07-08,P006,Phone Case,Accessories,512,507,200,1,7,0,0,Medium,Standard,32,16384,9984
2025-07-08,P005,Webcam HD,Electronics,1984,2252,1200,1,7,0,0,High,Standard,58,115072,45472
2025-07-09,P009,Smart Watch,Electronics,4848,5176,3000,2,7,0,0,High,Premium,82,397536,151536
2025-07-09,P005,Webcam HD,Electronics,1799,2016,1200,2,7,0,0,Low,Budget,52,93548,31148
2025-07-09,P005,Webcam HD,Electronics,1818,1598,1200,2,7,0,0,Low,Budget,8,14544,4944
2025-07-09,P005,Webcam HD,Electronics,1871,2122,1200,2,7,0,0,Medium,Standard,48,89808,32208
2025-07-09,P003,Mechanical Keyboard,Electronics,3567,3593,2100,2,7,0,0,Medium,Standard,44,156948,64548
2025-07-09,P001,Wireless Headphones,Electronics,2363,2233,1500,2,7,0,0,Medium,Premium,31,73253,26753
2025-07-09,P008,USB Cable,Accessories,310,300,120,2,7,0,0,Medium,Standard,68,21080,12920
2025-07-09,P001,Wireless Headphones,Electronics,2483,2334,1500,2,7,0,0,Medium,Budget,15,37245,14745
2025-07-09,P004,Laptop Stand,Accessories,828,715,540,2,7,0,0,Medium,Standard,38,31464,10944
2025-07-09,P001,Wireless Headphones,Electronics,2635,2963,1500,2,7,0,0,Low,Premium,62,163370,70370
2025-07-10,P002,Gaming Mouse,Electronics,1249,1250,780,3,7,0,0,High,Standard,28,34972,13132
2025-07-10,P005,Webcam HD,Electronics,1824,2092,1200,3,7,0,0,Medium,Premium,55,100320,34320
2025-07-10,P007,Power Bank,Electronics,1596,1686,900,3,7,0,0,Medium,Budget,55,87780,38280
2025-07-10,P008,USB Cable,Accessories,287,270,120,3,7,0,0,Low,Budget,41,11767,6847
2025-07-10,P007,Power Bank,Electronics,1612,1697,900,3,7,0,0,Medium,Standard,51,82212,36312
2025-07-10,P009,Smart Watch,Electronics,5303,5938,3000,3,7,0,0,Medium,Budget,66,349998,151998
2025-07-10,P009,Smart Watch,Electronics,5074,5042,3000,3,7,0,0,Medium,Standard,21,106554,43554
2025-07-10,P010,Bluetooth Speaker,Electronics,2039,1736,1140,3,7,0,0,Medium,Budget,0,0,0
2025-07-10,P006,Phone Case,Accessories,512,442,200,3,7,0,0,Medium,Standard,44,22528,13728
2025-07-10,P002,Gaming Mouse,Electronics,1222,1290,780,3,7,0,0,Medium,Budget,38,46436,16796
2025-07-10,P004,Laptop Stand,Accessories,921,802,540,3,7,0,0,Medium,Budget,42,38682,16002
2025-07-10,P005,Webcam HD,Electronics,2009,2006,1200,3,7,0,0,Low,Premium,50,100450,40450
2025-07-10,P008,USB Cable,Accessories,302,273,120,3,7,0,0,High,Budget,58,17516,10556
2025-07-10,P006,Phone Case,Accessories,484,513,200,3,7,0,0,Medium,Budget,73,35332,20732
2025-07-11,P007,Power Bank,Electronics,1488,1349,900,4,7,0,0,High,Standard,41,61008,24108
2025-07-11,P005,Webcam HD,Electronics,2132,2435,1200,4,7,0,0,Low,Budget,48,102336,44736
2025-07-11,P010,Bluetooth Speaker,Electronics,1806,1877,1140,4,7,0,0,Low,Budget,57,102942,37962
2025-07-11,P001,Wireless Headphones,Electronics,2642,2649,1500,4,7,0,0,Medium,Budget,47,124174,53674
2025-07-11,P010,Bluetooth Speaker,Electronics,1839,1688,1140,4,7,0,0,Medium,Budget,8,14712,5592
2025-07-11,P010,Bluetooth Speaker,Electronics,1837,2072,1140,4,7,0,0,Medium,Standard,54,99198,37638
2025-07-11,P003,Mechanical Keyboard,Electronics,3808,4171,2100,4,7,0,0,Medium,Budget,45,171360,76860
2025-07-11,P002,Gaming Mouse,Electronics,1340,1433,780,4,7,0,0,Medium,Standard,60,80400,33600
2025-07-11,P007,Power Bank,Electronics,1621,1452,900,4,7,0,0,Medium,Budget,11,17831,7931
2025-07-11,P003,Mechanical Keyboard,Electronics,3464,3910,2100,4,7,0,0,Low,Standard,81,280584,110484
2025-07-11,P010,Bluetooth Speaker,Electronics,1821,2057,1140,4,7,0,0,Medium,Budget,43,78303,29283
2025-07-12,P003,Mechanical Keyboard,Electronics,3714,4016,2100,5,7,1,0,High,Premium,95,352830,153330
2025-07-12,P005,Webcam HD,Electronics,2092,2325,1200,5,7,1,0,Low,Budget,75,156900,66900
2025-07-12,P003,Mechanical Keyboard,Electronics,3409,3691,2100,5,7,1,0,Medium,Standard,67,228403,87703
2025-07-12,P007,Power Bank,Electronics,1396,1555,900,5,7,1,0,High,Standard,51,71196,25296
2025-07-12,P009,Smart Watch,Electronics,4676,5184,3000,5,7,1,0,Medium,Budget,78,364728,130728
2025-07-12,P003,Mechanical Keyboard,Electronics,3463,3031,2100,5,7,1,0,Medium,Premium,9,31167,12267
2025-07-12,P001,Wireless Headphones,Electronics,2399,2480,1500,5,7,1,0,Low,Budget,54,129546,48546
2025-07-12,P001,Wireless Headphones,Electronics,2359,2229,1500,5,7,1,0,Medium,Budget,35,82565,30065
2025-07-12,P003,Mechanical Keyboard,Electronics,3832,4249,2100,5,7,1,0,Medium,Standard,79,302728,136828
2025-07-12,P004,Laptop Stand,Accessories,955,982,540,5,7,1,0,Medium,Standard,83,79265,34445
2025-07-13,P006,Phone Case,Accessories,487,499,200,6,7,1,0,Low,Standard,51,24837,14637
2025-07-13,P005,Webcam HD,Electronics,2132,2214,1200,6,7,1,0,Low,Budget,57,121524,53124
2025-07-13,P002,Gaming Mouse,Electronics,1272,1396,780,6,7,1,0,Low,Budget,52,66144,25584
2025-07-13,P008,USB Cable,Accessories,300,287,120,6,7,1,0,High,Standard,23,6900,4140
2025-07-13,P005,Webcam HD,Electronics,2115,2061,1200,6,7,1,0,Low,Standard,54,114210,49410
2025-07-13,P005,Webcam HD,Electronics,1884,1836,1200,6,7,1,0,High,Budget,39,73476,26676
2025-07-13,P006,Phone Case,Accessories,546,464,200,6,7,1,0,High,Standard,56,30576,19376
2025-07-13,P006,Phone Case,Accessories,459,502,200,6,7,1,0,Low,Standard,66,30294,17094
2025-07-13,P004,Laptop Stand,Accessories,899,1005,540,6,7,1,0,High,Premium,53,47647,19027
2025-07-13,P010,Bluetooth Speaker,Electronics,1928,1797,1140,6,7,1,0,High,Budget,8,15424,6304
2025-07-13,P001,Wireless Headphones,Electronics,2557,2292,1500,6,7,1,0,Medium,Premium,42,107394,44394
2025-07-13,P009,Smart Watch,Electronics,4678,4787,3000,6,7,1,0,High,Standard,44,205832,73832
2025-07-13,P010,Bluetooth Speaker,Electronics,1711,1776,1140,6,7,1,0,Low,Budget,53,90683,30263
2025-07-13,P004,Laptop Stand,Accessories,988,1053,540,6,7,1,0,Medium,Premium,106,104728,47488
2025-07-13,P006,Phone Case,Accessories,526,457,200,6,7,1,0,Medium,Budget,43,22618,14018
2025-07-13,P007,Power Bank,Electronics,1575,1387,900,6,7,1,0,High,Standard,32,50400,21600
2025-07-13,P003,Mechanical Keyboard,Electronics,3241,3416,2100,6,7,1,0,High,Budget,45,145845,51345
2025-07-13,P009,Smart Watch,Electronics,4603,4698,3000,6,7,1,0,Medium,Standard,83,382049,133049
2025-07-13,P001,Wireless Headphones,Electronics,2656,2869,1500,6,7,1,0,High,Premium,58,154048,67048
2025-07-14,P010,Bluetooth Speaker,Electronics,2062,2079,1140,0,7,0,0,Medium,Budget,24,49488,22128
2025-07-14,P002,Gaming Mouse,Electronics,1275,1162,780,0,7,0,0,Medium,Budget,30,38250,14850
2025-07-14,P003,Mechanical Keyboard,Electronics,3264,3572,2100,0,7,0,0,Medium,Standard,47,153408,54708
2025-07-14,P009,Smart Watch,Electronics,5331,5174,3000,0,7,0,0,High,Premium,40,213240,93240
2025-07-14,P007,Power Bank,Electronics,1474,1304,900,0,7,0,0,Medium,Premium,33,48642,18942
2025-07-14,P010,Bluetooth Speaker,Electronics,1980,2120,1140,0,7,0,0,Low,Premium,66,130680,55440
2025-07-14,P002,Gaming Mouse,Electronics,1314,1173,780,0,7,0,0,Medium,Standard,34,44676,18156
2025-07-14,P002,Gaming Mouse,Electronics,1294,1143,780,0,7,0,0,Low,Premium,36,46584,18504
2025-07-14,P003,Mechanical Keyboard,Electronics,3754,3227,2100,0,7,0,0,Medium,Standard,0,0,0
2025-07-14,P001,Wireless Headphones,Electronics,2288,2076,1500,0,7,0,0,Medium,Standard,11,25168,8668
2025-07-14,P009,Smart Watch,Electronics,5456,5239,3000,0,7,0,0,Medium,Budget,0,0,0
2025-07-14,P004,Laptop Stand,Accessories,925,951,540,0,7,0,0,Medium,Budget,56,51800,21560
2025-07-14,P005,Webcam HD,Electronics,1900,1863,1200,0,7,0,0,Medium,Budget,13,24700,9100
2025-07-14,P002,Gaming Mouse,Electronics,1315,1294,780,0,7,0,0,Medium,Standard,32,42080,17120
2025-07-14,P006,Phone Case,Accessories,526,492,200,0,7,0,0,Medium,Standard,70,36820,22820
2025-07-14,P004,Laptop Stand,Accessories,811,822,540,0,7,0,0,High,Budget,59,47849,15989
2025-07-14,P001,Wireless Headphones,Electronics,2401,2141,1500,0,7,0,0,Medium,Standard,8,19208,7208
2025-07-15,P004,Laptop Stand,Accessories,816,791,540,1,7,0,0,High,Standard,33,26928,9108
2025-07-15,P003,Mechanical Keyboard,Electronics,3467,3102,2100,1,7,0,0,Medium,Budget,0,0,0
2025-07-15,P003,Mechanical Keyboard,Electronics,3614,3606,2100,1,7,0,0,High,Budget,37,133718,56018
2025-07-15,P002,Gaming Mouse,Electronics,1384,1323,780,1,7,0,0,Medium,Premium,36,49824,21744
2025-07-15,P009,Smart Watch,Electronics,5175,4757,3000,1,7,0,0,High,Standard,0,0,0
2025-07-15,P003,Mechanical Keyboard,Electronics,3563,3705,2100,1,7,0,0,Low,Budget,35,124705,51205
2025-07-15,P003,Mechanical Keyboard,Electronics,3570,3781,2100,1,7,0,0,Low,Standard,69,246330,101430
2025-07-15,P004,Laptop Stand,Accessories,924,955,540,1,7,0,0,High,Standard,54,49896,20736
2025-07-15,P002,Gaming Mouse,Electronics,1224,1051,780,1,7,0,0,Medium,Standard,16,19584,7104
2025-07-15,P003,Mechanical Keyboard,Electronics,3819,3920,2100,1,7,0,0,Low,Budget,36,137484,61884
2025-07-15,P007,Power Bank,Electronics,1424,1556,900,1,7,0,0,High,Budget,23,32752,12052
2025-07-15,P004,Laptop Stand,Accessories,938,1012,540,1,7,0,0,Low,Standard,54,50652,21492
2025-07-15,P007,Power Bank,Electronics,1545,1701,900,1,7,0,0,Medium,Budget,43,66435,27735
2025-07-15,P003,Mechanical Keyboard,Electronics,3380,3054,2100,1,7,0,0,High,Standard,0,0,0
2025-07-15,P009,Smart Watch,Electronics,4593,4140,3000,1,7,0,0,Low,Standard,0,0,0
2025-07-15,P005,Webcam HD,Electronics,2013,1826,1200,1,7,0,0,High,Budget,4,8052,3252
2025-07-15,P001,Wireless Headphones,Electronics,2376,2731,1500,1,7,0,0,Low,Budget,85,201960,74460
2025-07-15,P004,Laptop Stand,Accessories,935,878,540,1,7,0,0,High,Budget,59,55165,23305
2025-07-15,P003,Mechanical Keyboard,Electronics,3297,3458,2100,1,7,0,0,Medium,Standard,55,181335,65835
2025-07-15,P009,Smart Watch,Electronics,4849,5332,3000,1,7,0,0,Medium,Premium,64,310336,118336
2025-07-15,P009,Smart Watch,Electronics,5398,6158,3000,1,7,0,0,Medium,Standard,106,572188,254188
2025-07-16,P008,USB Cable,Accessories,292,257,120,2,7,0,0,Medium,Budget,56,16352,9632
2025-07-16,P007,Power Bank,Electronics,1369,1573,900,2,7,0,0,Low,Premium,85,116365,39865
2025-07-16,P005,Webcam HD,Electronics,1944,1944,1200,2,7,0,0,Low,Standard,33,64152,24552
2025-07-16,P003,Mechanical Keyboard,Electronics,3539,3758,2100,2,7,0,0,Medium,Premium,50,176950,71950
2025-07-16,P008,USB Cable,Accessories,285,284,120,2,7,0,0,High,Budget,72,20520,11880
2025-07-16,P006,Phone Case,Accessories,507,505,200,2,7,0,0,Medium,Standard,46,23322,14122
2025-07-16,P001,Wireless Headphones,Electronics,2579,2596,1500,2,7,0,0,Low,Standard,54,139266,58266
2025-07-16,P010,Bluetooth Speaker,Electronics,2032,2038,1140,2,7,0,0,High,Premium,27,54864,24084
2025-07-16,P001,Wireless Headphones,Electronics,2692,3006,1500,2,7,0,0,High,Budget,59,158828,70328
2025-07-16,P010,Bluetooth Speaker,Electronics,1809,1658,1140,2,7,0,0,Medium,Budget,8,14472,5352
2025-07-16,P004,Laptop Stand,Accessories,980,1125,540,2,7,0,0,High,Premium,59,57820,25960
2025-07-16,P008,USB Cable,Accessories,314,318,120,2,7,0,0,Low,Standard,66,20724,12804
2025-07-16,P002,Gaming Mouse,Electronics,1236,1160,780,2,7,0,0,Low,Premium,59,72924,26904
2025-07-17,P002,Gaming Mouse,Electronics,1426,1377,780,3,7,0,0,Medium,Standard,7,9982,4522
2025-07-17,P010,Bluetooth Speaker,Electronics,1741,1986,1140,3,7,0,0,Low,Standard,56,97496,33656
2025-07-17,P006,Phone Case,Accessories,519,514,200,3,7,0,0,Low,Budget,39,20241,12441
2025-07-17,P007,Power Bank,Electronics,1414,1308,900,3,7,0,0,High,Standard,27,38178,13878
2025-07-17,P003,Mechanical Keyboard,Electronics,3252,2854,2100,3,7,0,0,High,Premium,0,0,0
2025-07-17,P008,USB Cable,Accessories,322,283,120,3,7,0,0,High,Budget,52,16744,10504
2025-07-17,P004,Laptop Stand,Accessories,886,806,540,3,7,0,0,Medium,Budget,15,13290,5190
2025-07-17,P008,USB Cable,Accessories,317,270,120,3,7,0,0,High,Budget,30,9510,5910
2025-07-17,P002,Gaming Mouse,Electronics,1285,1359,780,3,7,0,0,High,Premium,28,35980,14140
2025-07-17,P007,Power Bank,Electronics,1375,1389,900,3,7,0,0,Medium,Standard,40,55000,19000
2025-07-17,P008,USB Cable,Accessories,288,329,120,3,7,0,0,Medium,Budget,50,14400,8400
2025-07-18,P009,Smart Watch,Electronics,4762,4341,3000,4,7,0,0,Medium,Premium,0,0,0
2025-07-18,P004,Laptop Stand,Accessories,920,1008,540,4,7,0,0,High,Premium,52,47840,19760
2025-07-18,P005,Webcam HD,Electronics,1963,1781,1200,4,7,0,0,High,Budget,0,0,0
2025-07-18,P009,Smart Watch,Electronics,5453,5634,3000,4,7,0,0,Low,Premium,54,294462,132462
2025-07-18,P010,Bluetooth Speaker,Electronics,1814,2053,1140,4,7,0,0,Low,Premium,75,136050,50550
2025-07-18,P008,USB Cable,Accessories,308,340,120,4,7,0,0,Medium,Standard,78,24024,14664
2025-07-18,P009,Smart Watch,Electronics,4832,4820,3000,4,7,0,0,Medium,Budget,46,222272,84272
2025-07-18,P001,Wireless Headphones,Electronics,2636,2599,1500,4,7,0,0,Medium,Standard,41,108076,46576
2025-07-18,P001,Wireless Headphones,Electronics,2401,2183,1500,4,7,0,0,Low,Premium,16,38416,14416
2025-07-18,P006,Phone Case,Accessories,504,430,200,4,7,0,0,Low,Standard,71,35784,21584
2025-07-18,P007,Power Bank,Electronics,1441,1351,900,4,7,0,0,High,Standard,11,15851,5951
2025-07-19,P008,USB Cable,Accessories,271,310,120,5,7,1,0,Medium,Standard,48,13008,7248
2025-07-19,P007,Power Bank,Electronics,1424,1464,900,5,7,1,0,Medium,Standard,76,108224,39824
2025-07-19,P003,Mechanical Keyboard,Electronics,3557,3993,2100,5,7,1,0,High,Budget,94,334358,136958
2025-07-19,P010,Bluetooth Speaker,Electronics,1818,1596,1140,5,7,1,0,High,Budget,0,0,0
2025-07-19,P002,Gaming Mouse,Electronics,1352,1307,780,5,7,1,0,Medium,Standard,49,66248,28028
2025-07-19,P008,USB Cable,Accessories,282,281,120,5,7,1,0,Medium,Standard,45,12690,7290
2025-07-19,P006,Phone Case,Accessories,458,496,200,5,7,1,0,Medium,Standard,74,33892,19092
2025-07-19,P001,Wireless Headphones,Electronics,2275,2587,1500,5,7,1,0,High,Standard,84,191100,65100
2025-07-19,P002,Gaming Mouse,Electronics,1212,1254,780,5,7,1,0,Medium,Standard,65,78780,28080
2025-07-19,P001,Wireless Headphones,Electronics,2578,2591,1500,5,7,1,0,Low,Premium,61,157258,65758
2025-07-19,P002,Gaming Mouse,Electronics,1357,1361,780,5,7,1,0,Medium,Standard,32,43424,18464
2025-07-19,P010,Bluetooth Speaker,Electronics,1996,1865,1140,5,7,1,0,Medium,Premium,25,49900,21400
2025-07-20,P010,Bluetooth Speaker,Electronics,1896,1643,1140,6,7,1,0,High,Budget,0,0,0
2025-07-20,P003,Mechanical Keyboard,Electronics,3297,3191,2100,6,7,1,0,Low,Budget,11,36267,13167
2025-07-20,P008,USB Cable,Accessories,277,263,120,6,7,1,0,Low,Premium,60,16620,9420
2025-07-20,P008,USB Cable,Accessories,285,283,120,6,7,1,0,Medium,Budget,51,14535,8415
2025-07-20,P009,Smart Watch,Electronics,5376,6092,3000,6,7,1,0,Low,Standard,129,693504,306504
2025-07-20,P004,Laptop Stand,Accessories,877,900,540,6,7,1,0,Medium,Standard,77,67529,25949
2025-07-20,P003,Mechanical Keyboard,Electronics,3706,3529,2100,6,7,1,0,High,Standard,37,137122,59422
2025-07-20,P003,Mechanical Keyboard,Electronics,3783,4347,2100,6,7,1,0,Low,Budget,91,344253,153153
2025-07-20,P009,Smart Watch,Electronics,4591,4727,3000,6,7,1,0,Medium,Standard,61,280051,97051
2025-07-20,P007,Power Bank,Electronics,1357,1253,900,6,7,1,0,High,Standard,40,54280,18280
2025-07-21,P008,USB Cable,Accessories,322,368,120,0,7,0,0,High,Budget,50,16100,10100
2025-07-21,P007,Power Bank,Electronics,1573,1380,900,0,7,0,0,Medium,Standard,15,23595,10095
2025-07-21,P003,Mechanical Keyboard,Electronics,3339,3694,2100,0,7,0,0,Medium,Premium,64,213696,79296
2025-07-21,P008,USB Cable,Accessories,324,280,120,0,7,0,0,Medium,Premium,35,11340,7140
2025-07-21,P002,Gaming Mouse,Electronics,1254,1170,780,0,7,0,0,Low,Standard,35,43890,16590
2025-07-21,P001,Wireless Headphones,Electronics,2747,2601,1500,0,7,0,0,Medium,Premium,38,104386,47386
2025-07-21,P009,Smart Watch,Electronics,4755,4313,3000,0,7,0,0,Medium,Budget,0,0,0
2025-07-21,P004,Laptop Stand,Accessories,913,1035,540,0,7,0,0,Low,Standard,99,90387,36927
2025-07-21,P007,Power Bank,Electronics,1641,1875,900,0,7,0,0,Low,Premium,70,114870,51870
2025-07-21,P006,Phone Case,Accessories,539,599,200,0,7,0,0,High,Premium,66,35574,22374
2025-07-21,P009,Smart Watch,Electronics,4747,4875,3000,0,7,0,0,Low,Budget,55,261085,96085
2025-07-21,P002,Gaming Mouse,Electronics,1253,1422,780,0,7,0,0,High,Standard,33,41349,15609
